Tract,Source,Status,Final_Streamlines,Vol_Overlap_Pct,Retention_Pct
AC,AC.trk,OK,2878,60.31,111.77
FMaj,CC.trk,OK,1672,77.03,20.77
FMin,CC.trk,OK,340,63.23,4.22
MCP,MCP.trk,OK,539,35.98,77.55
AF_L,AF_L.trk,OK,5519,53.48,64.63
IFOF_L,IFOF_L.trk,OK,8444,56.9,109.46
ILF_L,ILF_L.trk,OK,215,9.4,4.06
UF_L,UF_L.trk,OK,838,41.69,59.1
VOF_L,VOF_L.trk,OK,51,28.76,11.62
MdLF_L,MdLF_L.trk,OK,194,16.55,46.41
SLF1_L,SLF1_L.trk+SLF2_L.trk,EMPTY,0,0.0,0.0
SLF2_L,SLF2_L.trk,OK,1422,38.29,44.84
SLF3_L,SLF3_L.trk,OK,178,17.97,27.01
AF_R,AF_R.trk,OK,403,13.72,48.03
IFOF_R,IFOF_R.trk,OK,2897,63.55,103.8
ILF_R,ILF_R.trk,OK,577,18.21,15.81
UF_R,UF_R.trk,OK,1563,45.91,66.34
VOF_R,VOF_R.trk,OK,23,20.88,8.58
MdLF_R,MdLF_R.trk,OK,2,5.72,0.25
SLF1_R,SLF1_R.trk+SLF2_R.trk,OK,131,17.36,3.24
SLF2_R,SLF2_R.trk,OK,1209,36.14,41.95
SLF3_R,SLF3_R.trk,OK,1081,28.0,25.39
CST_L,CST_L.trk,OK,1361,46.63,97.63
ATR_L,TR_A_L.trk+TR_S_L.trk+CPT_F_L.trk,OK,150,36.5,21.1
AR_L,TR_P_L.trk+OR_L.trk+IFOF_L.trk+MdLF_L.trk,OK,15,17.48,0.17
OR_L,OR_L.trk,OK,340,33.77,69.11
FAT_L,FAT_L.trk,OK,1221,53.09,38.43
STR_L,TR_S_L.trk+CST_L.trk,OK,369,40.26,21.76
CST_R,CST_R.trk,OK,702,30.98,117.2
ATR_R,TR_A_R.trk+TR_S_R.trk+CPT_F_R.trk,OK,89,26.36,5.79
AR_R,TR_P_R.trk+OR_R.trk+IFOF_R.trk+MdLF_R.trk,OK,348,39.63,8.85
OR_R,OR_R.trk,OK,226,33.61,73.38
FAT_R,FAT_R.trk,OK,418,30.83,33.07
STR_R,TR_S_R.trk+CST_R.trk,OK,45,28.42,5.07
Cing_Dorsal_L,C_FP_L.trk+CB_L.trk,OK,2344,45.52,11.87
Cing_PeriGen_L,C_FP_L.trk+CB_L.trk,EMPTY,0,0.0,0.0
Cing_Temp_L,C_PH_L.trk+CB_L.trk,OK,125,22.77,0.72
Fornix_L,F_L.trk,OK,82,18.47,54.67
Cing_Dorsal_R,C_FP_R.trk+CB_R.trk,OK,2022,61.91,25.34
Cing_PeriGen_R,C_FP_R.trk+CB_R.trk,OK,2,34.89,0.03
Cing_Temp_R,C_PH_R.trk+CB_R.trk,OK,195,29.86,3.25
Fornix_R,F_R.trk,OK,268,44.34,40.73
