Tract,Source,Status,Final_Streamlines,Vol_Overlap_Pct,Retention_Pct
AC,AC.trk,OK,563,50.51,109.32
FMaj,CC.trk,OK,299,52.69,18.57
FMin,CC.trk,OK,74,28.78,4.6
MCP,MCP.trk,OK,106,18.88,76.26
AF_L,AF_L.trk,OK,1115,49.21,65.32
IFOF_L,IFOF_L.trk,OK,1708,52.35,110.77
ILF_L,ILF_L.trk,OK,43,7.06,4.06
UF_L,UF_L.trk,OK,172,29.69,60.78
VOF_L,VOF_L.trk,OK,6,15.48,6.9
MdLF_L,MdLF_L.trk,OK,42,8.09,50.6
SLF1_L,SLF1_L.trk+SLF2_L.trk,EMPTY,0,0.0,0.0
SLF2_L,SLF2_L.trk,OK,307,29.83,48.42
SLF3_L,SLF3_L.trk,OK,34,11.47,25.95
AF_R,AF_R.trk,OK,73,10.71,43.71
IFOF_R,IFOF_R.trk,OK,576,49.67,103.23
ILF_R,ILF_R.trk,OK,111,12.11,15.23
UF_R,UF_R.trk,OK,302,37.74,64.12
VOF_R,VOF_R.trk,OK,4,10.74,7.55
MdLF_R,MdLF_R.trk,EMPTY,0,0.0,0.0
SLF1_R,SLF1_R.trk+SLF2_R.trk,OK,24,11.91,2.97
SLF2_R,SLF2_R.trk,OK,226,25.66,39.24
SLF3_R,SLF3_R.trk,OK,177,18.85,20.8
CST_L,CST_L.trk,OK,273,34.89,98.2
ATR_L,TR_A_L.trk+TR_S_L.trk+CPT_F_L.trk,OK,33,13.82,23.4
AR_L,TR_P_L.trk+OR_L.trk+IFOF_L.trk+MdLF_L.trk,EMPTY,0,0.0,0.0
OR_L,OR_L.trk,OK,68,27.28,69.39
FAT_L,FAT_L.trk,OK,233,39.72,36.69
STR_L,TR_S_L.trk+CST_L.trk,OK,76,20.83,22.49
CST_R,CST_R.trk,OK,137,22.9,115.13
ATR_R,TR_A_R.trk+TR_S_R.trk+CPT_F_R.trk,OK,17,7.75,5.57
AR_R,TR_P_R.trk+OR_R.trk+IFOF_R.trk+MdLF_R.trk,OK,82,28.4,10.37
OR_R,OR_R.trk,OK,40,23.23,65.57
FAT_R,FAT_R.trk,OK,71,23.33,28.17
STR_R,TR_S_R.trk+CST_R.trk,OK,15,13.81,8.52
Cing_Dorsal_L,C_FP_L.trk+CB_L.trk,OK,479,38.2,12.13
Cing_PeriGen_L,C_FP_L.trk+CB_L.trk,EMPTY,0,0.0,0.0
Cing_Temp_L,C_PH_L.trk+CB_L.trk,OK,25,12.84,0.72
Fornix_L,F_L.trk,OK,17,11.22,56.67
Cing_Dorsal_R,C_FP_R.trk+CB_R.trk,OK,434,47.05,27.21
Cing_PeriGen_R,C_FP_R.trk+CB_R.trk,EMPTY,0,0.0,0.0
Cing_Temp_R,C_PH_R.trk+CB_R.trk,OK,40,17.71,3.33
Fornix_R,F_R.trk,OK,44,29.62,33.59
